358	-1.6152859e-06
360	0.00369721046
362	0.0104014343
364	0.0188741907
366	0.0250627808
368	0.0233861767
370	0.0153204203
372	0.00609184476
374	0.00257730484
376	0.00891907234
378	0.0231784098
380	0.0357569121
382	0.0410041213
384	0.0419202819
386	0.0431457087
388	0.0426039137
390	0.0380752683
392	0.0321105868
394	0.0297444519
396	0.033198677
398	0.038896095
400	0.0427352861
402	0.0488662124
404	0.0640880466
406	0.0911168009
408	0.124467343
410	0.158941105
412	0.201894611
414	0.263523608
416	0.346080959
418	0.44401449
420	0.546155572
422	0.65633148
424	0.781562567
426	0.905171096
428	1.00898528
430	1.08359611
432	1.12641048
434	1.14269662
436	1.13634384
438	1.10601521
440	1.05500472
442	0.987015843
444	0.907137096
446	0.826233983
448	0.754734993
450	0.687539458
452	0.618841887
454	0.549440622
456	0.478135526
458	0.404773623
460	0.330656171
462	0.259821504
464	0.201917142
466	0.161012948
468	0.134057462
470	0.114885472
472	0.0960650519
474	0.0784768388
476	0.067527324
478	0.061922431
480	0.0583635494
482	0.0478842184
484	0.0266102254
486	0.00677125482
488	-2.74181332e-07
490	0.00419844408
492	0.0184949823
494	0.0293926485
496	0.0322506912
498	0.0304964948
500	0.0256027579
502	0.0186138079
504	0.0111333188
506	0.00644264836
508	0.00755845942
510	0.00979373418
512	0.00899938308
514	0.00798072852
516	0.0102175167
518	0.0145166395
520	0.0145699866
522	0.00880621932
524	0.00505512953
526	0.00559191406
528	0.0104401885
530	0.0154206445
532	0.0158106405
534	0.0136617869
536	0.0144068757
538	0.0172280893
540	0.0208439361
542	0.0238653012
544	0.0259577613
546	0.0262002312
548	0.0238357522
550	0.0207092725
552	0.0183411278
554	0.015436965
556	0.00926938653
558	0.002669245
560	9.12070318e-05
562	0.00260365009
564	0.0100366557
566	0.0179942716
568	0.02322408
570	0.0246664621
572	0.0218781307
574	0.0168873575
576	0.01007987
578	0.00431729853
580	0.00593087357
582	0.0124888476
584	0.0211305954
586	0.026762642
588	0.0241934154
590	0.0185501967
592	0.0138735268
594	0.0135258669
596	0.0210709423
598	0.0295673478
600	0.0319398791
602	0.0260931309
604	0.0160090122
606	0.0109405695
608	0.0105972709
610	0.0143733472
612	0.0232762285
614	0.0337334722
616	0.0406253859
618	0.03848131
620	0.0270124283
622	0.017869791
624	0.013082182
626	0.0107363611
628	0.00962645467
630	0.00801550131
632	0.00865492504
634	0.0116529763
636	0.0159260519
638	0.023282012
640	0.0305378437
642	0.0355660431
644	0.0385954417
646	0.0361528322
648	0.0278701056
650	0.0162468515
652	0.00801108219
654	0.00931120291
656	0.0151669383
658	0.0206904542
660	0.024023328
662	0.0248799548
664	0.0231403559
666	0.0166949891
668	0.00987756811
670	0.009009487
672	0.00991318002
674	0.00967105944
676	0.00835480727
678	0.00848392863
680	0.011290174
682	0.0145068886
684	0.0132175004
686	0.00893700402
688	0.00745898206
690	0.00870861672
692	0.014743763
694	0.0198766217
696	0.0200233366
698	0.018458318
700	0.0154961888
702	0.0116308127
704	0.00763545651
706	0.00522090495
708	0.0090316413
710	0.0149499979
712	0.0164398439
714	0.0129525904
716	0.00736948848
718	0.00999934319
720	0.0196086913
722	0.0288322475
724	0.0317355804
726	0.024520129
728	0.0140062571
730	0.00603705365
732	0.00147929182
734	0.00162130292
736	0.00406015851
738	0.0087427292
740	0.0157025456
742	0.0193539355
744	0.020347802
746	0.0177637115
748	0.0125264581
750	0.0102111697
752	0.0126534076
754	0.0193037316
756	0.0233998261
